registered at: ,2026-06-18 09:56:45.323676
0.3821,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [ 0.   -1.    0.    0.    0.  ]]"
0.3823,W,[0.06217652 0.06217652 0.00386592 0.06217652 0.00386592 1.        ]
0.3824,b,[-2.45569982  2.99565243 -2.85754227 -0.33921425  2.57908932  0.        ]
0.3826,coefficients,"[-6.81419031e+00 -6.43325490e-19 -3.32885958e+00  4.60020618e-02
  4.33186657e+00]"
0.383,r_i,[ 0.8 -2. ]
0.3832,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [ 0.   -1.    0.    0.    0.  ]]"
0.3834,W,[0.06217652 0.06217652 0.00386592 0.06217652 0.00386592 1.        ]
0.3835,b,[-2.99565243  2.30468628 -3.33486668 -0.41656311  2.4317975   0.        ]
0.3836,coefficients,"[-6.62542339e+00  3.85995294e-18  4.11514558e+00 -1.45726710e+00
  4.80025314e+00]"
0.384,r_i,[ 1.2 -2. ]
0.3842,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [ 0.   -1.    0.    0.    0.  ]]"
0.3843,W,[0.06217652 0.06217652 0.00386592 0.06217652 0.00386592 1.        ]
0.3845,b,[-2.30468628  1.91452133 -2.72124939  0.12711123  1.79906031  0.        ]
0.3846,coefficients,"[-5.27400951e+00  3.21662745e-19  2.69603655e+00 -9.40944041e-01
 -1.07387914e+00]"
0.385,r_i,[ 1.6 -2. ]
0.3851,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [ 0.   -1.    0.    0.    0.  ]]"
0.3853,W,[0.06217652 0.06217652 0.00386592 0.06217652 0.00386592 1.        ]
0.3855,b,[-1.91452133  0.74513815 -1.7874101  -0.11546102  0.84667307  0.        ]
0.3856,coefficients,"[-3.32457434e+00  6.43325490e-19  7.15813053e+00  7.99259429e-02
  1.14223405e+00]"
0.386,r_i,[ 2. -2.]
0.3861,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]
 [ 0.   -1.    0.    0.    0.  ]]"
0.3863,W,[0.06217652 0.00386592 0.06217652 1.         1.        ]
0.3864,b,[-0.74513815 -0.86059917  0.10153492  0.          0.        ]
0.3866,coefficients,[-0.         -0.          9.31422687 -1.35622463 -1.26918654]
0.3867,r_i,[ 2. -2.]
0.3868,D,"[[-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]
 [ 0.   -1.    0.    0.    0.  ]]"
0.387,W,[0.06217652 0.00386592 0.06217652 1.         1.        ]
0.3871,b,[-0.74513815 -0.86059917  0.10153492  0.          0.        ]
